name,full_name,team_id,team_image_url
PRX,Paper Rex,624,https://owcdn.net/img/62bbeba74d5cb.png
XLG,Xi Lai Gaming,13581,https://owcdn.net/img/671742f863b9b.png
GX,GIANTX,14419,https://owcdn.net/img/657b2f3fcd199.png
SEN,Sentinels,2,https://owcdn.net/img/62875027c8e06.png
NRG,NRG,1034,https://owcdn.net/img/6610f026c1a9e.png
EDG,EDward Gaming,1120,https://owcdn.net/img/62c82049253b2.png
TL,Team Liquid,474,https://owcdn.net/img/640c381f0603f.png
DRX,DRX,8185,https://owcdn.net/img/63b17abd77fc0.png
DRG,Dragon Ranger Gaming,11981,https://owcdn.net/img/642233fc01f26.png
T1,T1,14,https://owcdn.net/img/62fe0b8f6b084.png
G2,G2 Esports,11058,https://owcdn.net/img/633822848a741.png
TH,Team Heretics,1001,https://owcdn.net/img/637b755224c12.png
BLG,Bilibili Gaming,12010,https://owcdn.net/img/63f25d72216c1.png
MIBR,MIBR,7386,https://owcdn.net/img/632be7626d6d9.png
RRQ,Rex Regum Qeon,878,https://owcdn.net/img/629f17f51e7a3.png
FNC,FNATIC,2593,https://owcdn.net/img/62a40cc2b5e29.png
