match_id,game_id,team_id,team_pistol_win,team_eco_round,team_eco_win,team_semieco_round,team_semieco_win,team_semibuy_round,team_semibuy_win,team_fullbuy_round,team_fullbuy_win,event_name
542195,233397,624,1,4,2,0,0,3,2,15,9,Group Stage:  Opening (A)
542195,233397,13581,1,3,1,1,0,8,3,10,5,Group Stage:  Opening (A)
542195,233398,624,2,2,2,1,0,5,4,10,7,Group Stage:  Opening (A)
542195,233398,13581,0,4,0,2,0,3,0,9,5,Group Stage:  Opening (A)
542196,233400,14419,1,3,1,2,0,4,1,10,4,Group Stage:  Opening (A)
542196,233400,2,1,3,1,0,0,2,2,14,10,Group Stage:  Opening (A)
542196,233401,14419,1,4,2,0,0,1,0,12,11,Group Stage:  Opening (A)
542196,233401,2,1,3,2,0,0,11,1,3,1,Group Stage:  Opening (A)
542196,233402,14419,1,3,1,1,0,4,3,14,9,Group Stage:  Opening (A)
542196,233402,2,1,3,1,1,0,6,3,12,5,Group Stage:  Opening (A)
542207,233430,1034,0,4,0,1,0,7,3,20,14,Group Stage:  Opening (C)
542207,233430,1120,2,3,2,1,0,5,2,23,11,Group Stage:  Opening (C)
542207,233431,1034,1,3,1,1,0,5,2,15,10,Group Stage:  Opening (C)
542207,233431,1120,1,3,1,1,0,5,2,15,8,Group Stage:  Opening (C)
542205,233427,474,0,4,0,1,1,6,0,10,7,Group Stage:  Opening (C)
542205,233427,8185,2,2,2,0,0,4,3,15,8,Group Stage:  Opening (C)
542205,233428,474,1,3,2,1,0,5,2,14,6,Group Stage:  Opening (C)
542205,233428,8185,1,3,1,2,1,2,1,16,10,Group Stage:  Opening (C)
542212,233445,11981,2,2,2,2,0,4,2,21,9,Group Stage:  Opening (D)
542212,233445,14,0,4,0,1,0,4,1,20,15,Group Stage:  Opening (D)
542212,233446,11981,0,4,0,1,1,4,3,21,10,Group Stage:  Opening (D)
542212,233446,14,2,3,3,4,1,4,3,19,9,Group Stage:  Opening (D)
542211,233442,11058,0,4,1,3,0,1,0,15,9,Group Stage:  Opening (D)
542211,233442,1001,2,2,2,2,0,5,2,14,9,Group Stage:  Opening (D)
542211,233443,11058,1,2,1,2,1,9,3,10,5,Group Stage:  Opening (D)
